,reviewContent,flagged
5084,"My friend took me there on Friday.  I had a great time.  it is not crowded, so you can dance, drinks and set up of the place are very good.  I reccomend to go there on Firday night.",Y
4094,"My best friend was celebrating her 25th birthday downtown so we decided to get a room so that we wouldn't have to drive around. Just as other reviewers said, we booked with hotwire/priceline and were given this hotel. We had actually stayed here in the past for NYE and enjoyed it so we figured this would be a good experience, boy were we wrong! First of all, this place is huge, there are two different wings and it can become frustrating if you hop on the wrong elevator to get to your room (you'll end up on the opposite side of the hotel). The lobby is kind of corny but it's cute and I can guess its for tourists. The rooms are decent, nothing to run home about and definitely not 5 star material. We went to check in and were told that there was a 100 dollar authorization charge (never heard of 100, usually its 50...but whatever), we gladly paid and went to our room. We got to the room and everything was fine until I noticed we didnt have any cups/ glasses. So we called for them and they didnt come, we called back and they sent them up (30 minutes later). We went out that night, came back into the hotel and literally as SOON as we got off the hotel a male security guard began following behind us. I became alarmed because I did not see any Hyatt branding on his clothing but he was holding a walkie talkie....anyway he began to ask us if we were guests at the hotel and we told him yes. He then demanded to know what room we were staying in, I didnt tell him and continued to yell at us and follow us to our room. When he saw that we had keys, he walked away. I was highly upset and decided to place a call to the front desk to complain, the gentleman on the phone told me it was procedure for their guards to do that. I told him there was no way in hell that was procedure and demanded to talk to his boss. The boss got on the phone and immediately apologized, he said that was NOT procedure and that it should not have happened. He then offered us two breakfast and lunch vouchers and made the security guard come upstairs and apologize. overall this hotel is average...but their customer service sucks...I will NEVER stay here again...EVER!",N
816,"My Husband and l couldn't find a baby sitter to watch our toddler on Valentines day 2009 and so we decided to have early dinner with our son.The only places we were looking at going were Hotel restaurants because we knew they would be family friendly and so we were glad to have a reservation at the Westin hotel, it had a nice location, not crowded at 4.30pm,we were happy when we arrived.However,all that changed when our waitress arrived.Oh my God, talk about taking away the joy of Valentines,She never smiled, she aggressively asked for our lds when we asked for our drinks,it was not the fact that she asked for it,it was HOW she asked, you would think she was a cop.She brought my steak well-done after l specifically requested for it to be medium rare.Our Whole dinner was ruined, it was such a beautiful restaurant and this silly woman had to ruin it with her negative energy. l reckon you must have a heart of stone not to respond to my sons smile or very bubbly personality and she did not once for the entire dinner say anything friendly to him,even though l could see her being friendly and smiley to another couple at another table not too far from ours! l did not think it necessary to complain.Personally, l would never be back. All that negative energy, unfortunately, took away from the lovely gesture of the restaurant giving out Valentine roses to everyone and the smiley faces of the other waitresses and staff of this place.If only we had a normal waitress,everything would have been perfect!",N
4241,"Check in was a nightmare and so was check out. They also ""misplaced my car"" it was eventually located after a half hour and then tried to charge me double. Along with attempting to charge me for everything in the mini fridge. I guess if you bump it or something you get charged. I got all that removed but still.",N
1110,"Had a great stay at the Fairmont! Hotel was spotless. Reservations desk was friendly and very prompt. Room was clean, airy and bright with great views of a park and the lake. Towels were fresh, bed and pillows were plush. Bathroom had a wonderful rain shower. Walking distance to Millennium Park, Macys and all the other downtown spots.",N
3297,"I'd definitely stay here again. They've got a great restaurant in the building, nicely decorated rooms and a convenient location. My only complaint was the music options in the room. You would think the hard rock hotel would at least have some way to play your iPod in the room. But no. They did have a 6 disc CD changer and Sony receiver, but unfortunately I didn't bring my CD collection with me to the hotel. Come on guys, its 2009, the least you could do is offer up one of those clock radios that has a dock for an ipod. It's a minor complaint, but I'd really expect a hotel who's theme is music to not be stuck in the 1990s. Next time I guess I'll bring a few Pixies and Dinosaur Jr CDs so I can at least use their equipment...",N
4227,"All right.  Me, I usually can be found staying in budget class hotels, like Super 8,  Red Roof Inn, and places such as that.  But this place changed my outlook on everything.  Now when I'm stuck at the Budgetel, I long for a place like this.  I stayed here after a north side pub crawl.   The room was fabulous in itself, with comfortable furniture, dark colored upholstery (but not depressing), mini-bar (I do have to admit- I had to have myself a Jagerbomb.  I just wanted to know if the $12 airline-style bottle of Jager was any different than the regular bar variety!) data-port, big comfy beds complete with lots of pillows!  To me that was heavenly.  Not to mention the in-room coffee maker complete with Gevalia coffees (Double-yum!).  So to someone who is usually budget conscious, this was heaven!  The next morning, we went downstairs to the breakfast buffet, and I was even more impressed.  The custom-made omelet I had was off the charts (Swiss cheese and Portabella mushroom!)   and the strawberry kiwi smoothie I had accompanying it was good as well.  The only problem I encountered during my stay was upon check in; they seemed to have lost our reservations.  So the process to get checked in took a bit longer than normal.  But the staff was very friendly and apologetic about the whole situation, which made the wait bearable.  If I ever need to stay the night downtown again, this is my spot!",N
167,"Great location for a cozy hotel at a fraction of the price of the hotels within a block or two. Older, smaller rooms, but I liked it and I appreciated the delightful people who work the front desk...when looking to visit Chicago or for a ""staycation"" for those in the suburbs over a special weekend for shopping or downtown sights.",N
2340,"Gorgeous property.  Magnificent lobby.  Great rooms.  Free breakfast downstairs at the restaurant for higher status members.  Great concierge food.  Right next to the mall.  Walking distance to everything.  Only annoyance I've found is that bath tubs are slow drains, meaning 30 sec after turning on the water your feet will be under water.",N
4016,"My favorite hotel in Chicago, hands down! And not just because of the Big Bar... I'm going to go ahead and not take a star off for the room next to me in which two very... aggressive... individuals decided to... how do I say this... what's that song? ""Do it like they do on the discovery channel?"" Yeah. All night long. FML. They're also heavy smokers and I'm pretty sure you're not supposed to do that here. This morning I woke up to the sounds of them throwing up -- not even kidding. But that's not the hotel's fault. What I love most about the Hyatt Regency is that much like the city it's in, it's so busy all the time. This has to be one of the busiest hotels I've seen and I love the energy, plus the people watching is superb. As I mentioned before, a trip to the Big Bar where you can pick up an oversized drink, is definitely in order. There's also a Starbucks in the lobby which is more than convenient. The room service is prompt and comes along with a great menu... this morning I had the ""green and white eggs"" which comes with kale, avocado, and sprouts... they have certain things designated healthier than others which I'm always a fan of. The Hyatt also has a late night menu that runs I believe until 6am, for those of you who party your pants off in Chicago. I love the energy of the Hyatt Regency, and when I told the guy at the front desk I was from St. Louis and our Cards just took game 6, he upgraded me to a king size room with a gorgeous view. Highly recommended for a downtown Chicago hotel!",N
2339,"I stayed at the Marriott this weekend because I had friends in town and I wanted to stay downtown.  The hotel was pretty nice but the rooms are tiny (although gorgeous view).  The bathroom was barely big enough to turn around in.  I was a little disappointed with the room itself, but the service was really good - extra towels in less than 10 minutes, the concierge was nice and fast and the front desk staff was helpful.  If you're looking for a hotel downtown this one is definitely worth a try - I would stay here again, but I would think twice before stuffing 4 people in a room.",N
3864,"The standard rooms are small but make efficient use of space.  The modern decor compliments the hotel's modern design and materials.  Despite much glass, cement, and metal, it still feels very intimate and warm.  However, if you are easily awakened, bring some sort of white-noise device, as we were constantly disturbed by car alarms and sirens a full 20 stories below.  My only complaint was the bellman tried scaring me into using the hotel's overnight valet service for $38 by saying I'd be towed if I parked overnight on Erie Street.  Minutes later, I asked a parking enforcement officer, who informed me that overnight parking was legal and free, but that I'd need to begin paying again at 8:00 a.m.   Despite that, I'd definitely go back.  The location is great, and the hotel is very unique.",N
4459,"The location of this hotel is great if you want to be in the heart of downtown Chicago!  It's close to pretty much everything! We also got a great deal, a single king-sized bed room for $89/night.  The hotel itself, was gorgeous-the lobby ceiling was breath-taking! The one con with the hotel was that the room was TINY.  It's the smallest hotel room I've ever been in!  But I guess being in the City, you're not going to spending much time in the room anyways.",N
1895,"I recently spent two nights at the City Center W and had a fine, but not overwhelmingly positive, experience. As other reviewers have mentioned, W hotels try to cultivate a ""club like"" feel. The purple lights and throbbing techno music don't do a whole lot for me, so I'm thankful that they're restricted to the first floor and the elevators. The room my partner and I stayed in was small but adequately furnished with sleek, modern furniture in neutral colors. There was a king sized bed, desk, chair, a few cabinets, and plenty of conveniently placed outlets for cellphone chargers, laptops, etc. Because we were placed in a corner room, the placement of our television was a bit awkward (it's my understanding that most of the rooms have the television positioned on a wall facing the bed, but our bed faced an exterior wall with windows and the television was mounted off to the side -- had we actually been using the television, this might have posed an issue.) The bathroom was adequately stocked with plush towels and Bliss brand toiletries. My only complaint is that the sink was borderline miniature. It seemed like no matter how careful I was when I brushed my teeth or washed my hands, I always ended up having to grab a hand towel and mop some water up off the floor. The hotel is located near stops for both the red and blue L lines, which was perfect for my partner and I. We utilized the L in favor of cabs throughout our stay and were able to get to the majority of our destinations via the red line (which conveniently runs all night.) The staff was friendly and efficient, willing to offer directions and dining recommendations. I used the ""Whatever/Whenever"" service once to request foam pillows instead of down (allergies!) and considering that I called well after midnight, they arrived promptly. My one real complaint (aside from the tiny bathroom sink) is that the in-room wireless is not complimentary. There is complimentary wireless in the lobby area, but the club decor/music in the lobby doesn't exactly facilitate a good working environment. So, if you need to keep up on your work e-mail and are without a smart phone, you'll likely have to shell out for in-room wireless.",N
3122,"Ugh. I will never stay at this hotel again. I am the one who picked the W in the first place, so I'll take the blame. It looks so plush and stylish in the photos. The first thing we noticed when walking in (besides Billy Zane getting into a limo... now I know it was an omen) was a club atmosphere in the lobby. There were lots of martini drinkers sitting around in sunglasses... The receptionists were too trendy for their own good, and I suspect that the one on the right was faking his English accent. (Oh yeah, they actually tell you to ""take the lift"" here...) In my opinion, it always is a mistake for a hotel staff to come off as condescending, and here, they definitely did. (There are plenty of high-end hotels who operate with friendliness.) We reserved a room with two queen beds, since my sister-in-law was joining us for a couple of days. We got off the elevator (which was scented, a nice touch) and, despite it being full daylight outside, were plunged into club-style darkness. The halls are very dark, with colored lights to guide your walk. When we opened our door, a lot of light was coming in from the big window. (We were on the west side of the hotel, so we had a crappy view of the building next door.) Ambient club music was playing from the small CD alarm clock, and the room looked really clean. Another look, and I realized there were Ws on everything... everything. My God, the room was one big marketing campaign and attempt to sell merchandise (including a $22 bottle of water that had been picked up and passed over so many times the logo had worn off). It was highly annoying to me. I started obsessing about finding everything that was W-branded -- and my finds included a teddy bear, the CD of music playing when we came in, coffee mugs, t-shirts -- and started seeing a lot of wear-and-tear on the room and furniture. Actually, it reminded me a lot of Design on a Dime... like it might look good to last through the photo/filming session, then all the cheap Scandinavian-style laminate furniture and other cost-cutting features start to fall apart and reveal the hotel for what it really is: the illusion of luxury and exclusivity. The most annoying thing, though, was the ""divider"" (yes, I said divider) between the bathroom and rest of the room. There was no solid, latching door, just a woven sliding panel that made comfortable privacy impossible. To boot, the panel in our room was BROKEN, so there was a hole in it. Also, there is a shuttered pass-through between the bathroom and bed area that doesn't fully close off any view or sound. I understand the concept (you can be in bed AND watch your lover take a shower... although the shower curtain was opaque, so I'm not sure what else you could watch), but when a room has two beds, there should be some consideration that lovers might not constitute a full party staying in a room. Not be be crass, but... there's this book called Everyone Poops. I think the W got confused and thought it was called Everyone Needs to Know When Everyone Poops. I give two stars for the beds being comfortable and room service (when requesting towels) being very prompt. Plus, we didn't get robbed... except for our dignity.",N
4369,"I would live here if I could..okay, maybe not... but Palmer House Hilton has been the venue for a number of conventions and events I've attended and every time I'm here, I never want to leave!   This hotel is classy and worldly.  Not pretentious classy, more sophisticated, aesthetically pleasing and I feel like I'm on vacation in early 20th century Europe.   I just love the majestic ambiance of the entire hotel- the ballrooms, conference centers, and lounges are beautifully classic! The facilities are gorgeous (and squeaky clean).   I was here one week for a work convention, and the next weekend for the White Sox fest.   My every experience here is magical, no matter what the occasion is! My imagination has a lot of fun here, which it doesn't get enough of as an adult:)",N
4684,"One of my most favorite hotels...in the country. Have stayed here twice: 2009 and 2011. Fun, eco-friendly boutique hotel in downtown Chicago (great location walking distance from Mag mile) with a stylish looking lobby and bar area. The beds are so comfortable. Modern decor, nice amenities such as a spa but old city charm. Of course, quite clean. The staff are quite helpful and nice, hotel is not too big. Feels comfortable and not over the top like the chain hotels. AND, it's affordable! Call for the best deals or look online for specials. Highly recommend.",N
4711,"Although hotel Felix is certainly not the worst place to stay, I would say that ""upscale and luxury"" (as stated on their website) is a relative term. We stayed there last November and I'd say that $200+/night was too much. If you can get a discount it would be Ok place to stay. The rooms are very small and definitely meant for 1 person; for 2 persons it is a stretch. Closet space is tiny even for 1 person (it may be Ok if you travel without luggage or planning to stay just for one night). Admittedly, it is a very well kept place (probably in part due to the fact that it was just recently renovated). The shower is huge especially in comparison to the room size, but the bathroom sink has the weirdest design I ever saw. It is so shallow that it's difficult to wash your hands. Internet connection is painfully slow. The elevator's capacity is not enough for the amount wanting to use them. On the bright side, hotel staff is very friendly and attentive, but every once in a while it seems that they simply get overwhelmed and line to check in/check out can be quite sizible. The restaurant (Elate) is exceptional. We ate breakfast and lunch there on 2 separate days and the quality and taste of our fare was amazing. I would definitely recommend to try it. Location is good and fairly central, so you can either walk a take a short cab ride to downtown. Overall, it was Ok experience.",N
884,"I stayed in the Burnham while I was in Chicago for a conference. It's a small, boutique hotel owned by the great chain Kimpton. All the Kimpton hotels I've stayed at have been lovely and the Burnham is no exception. Rooms are decent sized for such a small hotel. I happened to get the handicap accessible room so my bathroom was oversized (NICE!). Good water pressure and and nice toiletries. Big flat screen TV and a mini-bar. Towels and linens were good quality and the bed was very comfortable. My room faced the street and you could definitely hear the city sounds so if you don't like honking and such, ask for an interior room. But interior rooms have no view and I was able to watch the city speed by, which I like. There is a restaurant attached and while I didn't eat there, I did get a glass of wine both nights. The menu looks very nice. There is also a nice manager's happy hour in the evening if you would like a glass of wine. I would recommend the Burnham highly. It was in close proximity and walking distance of the river, Miracle Mile, and Millenium Park and museums. A great location!",N
1943,"I stayed here a few nights while working on a project.  In fairness to this hotel property - I suppose it was true to itself, but it just wasn't me.  I just couldn't get comfortable.  If you like clean line architecture, modern decor and darkness with smatterings of artificial light - this place might feel like home for you.  However, it wasn't just this that I didn't like so much  - it was number of things, one being the uselessness of the room set-up.  The rooms were clinically beautiful, but the Plasma TV was at such an angle that when you pulled it out to watch from bed, the remote sensor was covered by the molding, rendering the remote useless.   Also, I went to retrieve ice from one of the ice-rooms and my key wouldn't work, so I called down to the staff and they stated that every floor's ice room had that issue (they offered to promptly bring me ice).  But I just couldn't help but wonder - every ice room on each floor wasn't functioning?  Really?  I also didn't like the fact that there wasn't a terrace or any place I could ""go-outside"" and maybe read a little bit.  The property was very constricted and cold.     This isn't about the staff - honestly - they were insanely helpful and courteous.  I just don't get the purpose/model of the hotel.  It reminded me of going to a pretentious French fusion restaurant where the entrees are big on pretty and small on taste.  A little confused I guess.  I've been to other W's and they were very nice.  This may be an anomaly, but I think I'll check out the other hotels in the area.",N
3462,"Hotel with Style and Impeccable Service. I'm staying three nights here and it is one of the best hotel experiences I've had (even compared to Four Seasons & the Ritz).  The hotel is a bit smaller than the chain hotels, but has oh so much more style and glamour! It blends hip and history all into one-- what a unique boutique hotel should be! The service is excellent, from the reservations team to the front desk, to the concierge, housekeeping, waitstaff- you name it.  I'm not going to say that there haven't been minor mistakes- like I had to call twice to change my reservation, etc.  But overall, the attitude is consistently caring, professional, and there is attention to detail everywhere. Main lobby and lounge area are very inviting- nice relaxing space to meet up with friends/colleagues or just surf the net on your laptop.  The rooms are fresh, upbeat, modern, extremely clean, and very quiet.  I was upgraded to a suite (even though I was paying a corporate rate-- nice!) It has a stylish sofa/hideaway bed with a work area and plasma TV.  The bedroom has a large king bed (surprisingly comfortable- NOT hard or hollow like most hotel beds), a beautiful large floor length mirror, make up table, another plasma TV and a bathroom in floor-to-ceiling marble. Downtown Chicago hotels are not cheap-  You may be able to get this between $150 - $209 if you book ahead and stay multiple nights and use corporate or AAA rates.  This is definitely a great value- it really feels like a small luxury hotel without the big name.",N
2564,"Really beautiful place, but the staff is so snobby and the music tends to be poor.  I was also not impressed with the fact that you can't go into certain areas because they're hosting private parties--get a partition or something! I would complain about the cover charge, but just get to know the bouncer and they won't make you pay--enough people pay without complaint, so they can afford it.",N
1519,"Completely new find for me on a recent business trip to Chicago.  On the Chicago River, it has AMAZING views of the river and city at night.  Gorgeous, large rooms, great bathrooms, fantastic decor and a staff that couldn't have been nicer. A fabulous bar inside of the hotel, Hoyt's....not as intimate or cozy as I would have liked, but since I was solo, not as important.  More of a sports bar.  Good calamari. Located on East Wacker, you can get to a lot of really cool places, easily from this location. The modern, warm vibe of the hotel also makes you feel as if you are more important than you really are...:) They let me sleep in til 1:30pm the next day for late check out.  Superb! I'd definitely come back and take in more of the town.",N
2908,"This is the worst Sheraton I've ever stayed at. The staff were horribly rude. I did not feel welcome when I checked in. They don't give upgrades to Gold Starwood members like the other Sheratons - you have to be Platinum. And you have to pay for anything other than the room (i.e. internet, gym, local calls). They charged me for things in the minibar and I didn't eat any of that expensive crap! The housekeeping staff was extremely slow. It took until about 5pm for them to come to clean the room. And get this - they didn't extend the wedding rate for the parents of the bride so that they could stay there an extra night! I will NEVER stay at this hotel ever again unless I can get a room for less than $70.",N
2551,"I was conflicted on rating this establishment ""A-ok"" or ""Meh"". Frankly, it's possible to experience both in one night depending on what happens.  The Victor Hotel was good, the music was lively, there were a barrage of lovely women dressed beautifully and the music almost seemed to compliment their desire to feel gorgeous and enjoy a night of fun.  To this I salute The Victor Hotel and promise that I will return.   Additionally, I had a chance to have a meeting with Carlos Zambrano, I bought him a glass of red wine, I had never expected that he would be a wine drinker but you know ""Qu'il en soit ainsi, ainsi soit-il"".  I digress, this experience too increased my fondness of The Victor Hotel. Conversely, The Victor Hotel tried to put one over on me and maybe it is not the establishment per se, maybe its the management, maybe even the staff.  Whomever it was, I was brought down quickly  from a sense of enjoyment to the bitterness of reality.  Bartenders, in my experience in communications both verbal and nonverbal one intentionally expresses amicability and in the service industry it pays off.  Wrong night.  Bartender was not friendly, she threw drinks at me, and she visibly rolled her eyes at me when she could not hear me over the music.  I am not saying here reaction was targeted at me.  In fact, I think everyone likes me and everyone wants to be my friend.  So, I continued on my way and use this yelp review as a sort of awareness blog.  Check your ego at the door.  Oh and ask for an itemized bill.  The Victor Hotel adds both gratuity and service charge...suspect I know",N
648,Stayed here for a girls night out in Downtown. It was a pleasant experience. It's nice that there is a Einstein Bagel accessible from the lobby. They also have smoking rooms which are nice for the smokers.,N
3491,"After booking a room with 2 beds, I was given a room with ONE double bed!  There were 3 people.  The staff was very rude and unhelpful.  Do not stay here",N
3476,"Ken B. said it best:  ""I give it 5 stars not based on luxury hotel standards, but based on the money I spent per night and damn right, it gets five shiny stars."" We stayed at the Allerton on a holiday weekend and got an amazing deal on Hotwire. (I paid more per night to stay in a dingy motel in Santa Monica, but that is an entirely different review.) I read the Yelp reviews before I came and was bracing for the worst-mainly that I would be sleeping in a closet, but I was pleasantly surprised.  We stayed in the Standard room, which I think is their smallest room. It has a full sized bed, and a tiny bathroom (so two people can't get ready at once) but was otherwise spacious and clean. The fitness center was also well equipped with new treadmills, ellipticals, weights and a TVs on all the equipment. The location is also in the middle of everything. A stay at the Four Seasons it is not, but for the price, it really can't be beat. All in all, I think this is a great boutique hotel that has been renovated quite nicely and I would definitely stay here again. I am taking away one star because of two things: 1) the elevators are the SLOWEST most awful elevators ever. I know this is beyond management's control since it is an old building and they probably had to work with the existing framework, but OH MY GOD. Don't stay here if you anticipate being in a hurry at any point during your stay. Or stay on a floor you can walk up to; 2) the tv channel selection is really limited.",N
3190,"The hotel itself, including the restaurant and top-floor bar were great but I have an overall negative impression of this hotel because of the terrible customer service.  The employees would rather chat with one another than help address my needs.  When my key card stopped working repeatedly, the girl at the front desk actually rolled her eyes at the fact that she had to reset the card again.  When we ordered breakfast up to the room, they brought me a mug for my tea that had dried out coffee at the bottom.  When I called to say they brought me a dirty mug and only decaf tea, they did not return for over 20 minutes when I just had to leave to make it to my meeting on time.  When I called to say not to bother with the replacements, they didn't even apologize for the mistakes or inconvenience. I will never stay at this hotel again.",N
4354,"The only thing I liked about this hotel was the lobby. I went to Chicago for a cousin's wedding and we decided to stay at the palmer house because it is such a historic place. When we first got there we stood in a long line to check in and when I finally got to the receptionist he was not very friendly and freaked out when the reservation was under my moms name and not mine and made my mom come down out of her room to confirm I was telling the truth. Anyway when we got to our room it was rather small. No coffee pot, no fridge, a large old box TV. The room was clean but nothing special. When I was getting ready for the wedding I needed to blow dry my hair and the blow dryer in our room didn't blow hot air so I had to go to my moms room to get a blow dryer. This gets me to my next point: THE ELEVATORS SUCK! Well first off all they put me on the 12th floor and my mom and her husband on the 18th floor. Not necessarily a big deal but the elevators at the palmer house are in three different groups and go to three different groups of floors. What I mean is in the lobby I had to get in the elevators for floors 10-15 and my mom got in elevators for floors 16-20 or something like that. So every time I needed to go to my moms room or vice versa I had to go all the way down to the lobby and then catch the other set of elevators to her floor. HUGE PAIN IN THE ASS! Also because we were there for a wedding, I was supposed to receive a gift bag with snacks and info about the wedding. Well I never got mine and I spent 20 minutes running all over the hotel looking for it with no success. Also at the Palmer house if you need to use a computer or the internet you have to pay a big price. Anyway my mom had to do a reading in the wedding and she lost the piece of paper so I went down to concierge and there were about three of them standing around doing nothing and I asked if they could print this off for me really quick because it was an emergency. They rudely told me to go to the business center and print it off myself. Anyway the service in the lobby SUCKED. However I will say that the cleaning staff was extremely friendly and helpful. Usually when I stay in a hotel just one night I don't need the staff to clean my room so I put the DND sign out. Well we were leaving to go see the sights one morning and the cleaning lady was right there and said oh I was about to clean your room and we said it was fine and then she suggested to give us at least a set of clean towels. VERY NICE CONSIDERATE CLEANING STAFF. Also avoid the restaurant they have in the lobby. The Lockwood I think. Horrible experience. See my next review. But I probably won't be staying at the Palmer House Again. There are many much nicer hotels in Chicago that offer fantastic customer service. And I only gave them two starts because the lobby is beautiful and the housekeeping staff rocks!",N
752,"Great location..right across the street from a funky looking Cheesecake Factory.   Parking: Overpriced..try parking elsewhere or don't bother renting a car if you're staying in the central vicinity.  When it's nice outside, the walk around that area is nice. Rooms: Bed are comfy but I agree with other yelpers that they need some refurbishing.  Could be more updated for the price you pay.  Friendly staff and front desk.  Concierge gave us some passes for local nightlife around the area and the suggested places were fun.  Although the crowd was a bit random, I would still go back. Location: Prime location with lots of things nearby and local transportation.  Near many of the shops and a quick 15 minute walk to Garrett's Popcorn.  What can I say...a definitely PLUS!",N
2068,"Typically you get a crappy room when you check-in after midnight but we somehow lucked out.  Yvonne checked us in and when she slided the room key over to us, she said that we were really going to enjoy the room.  That can be ominous coming from a complete stranger.  Hmm. If you can at all, request a river view.  Or room #1612.  It is a corner room that is more like a suite in terms of size.  The major attraction is the view of the Chicago River- you get both the east-west and the north-south branch, plus the gorgeous 333 Wacker Building across the water, the L trains, Merchandise Mart, boats and the many bridges.  The furnishings are ok, the bathroom not updated, but who cares when you get this much space and an amazing view! Can't comment on the food served here.  There are plenty of options close by (not so much for a sit-down breakfast) or you can get chain-restaurant food court next door in the Merchandise Mart.   Or hop on the L and get out of River North for a spell.",N
4914,"Not very impressed...The rooms are extremely tiny and poorly designed. Couldn't open the closet all the way because the TV stand was in the way. The bathroom was super small and did not have a built in fan. The entire place had a upscale/elegant look to it (which I understand due to its age), but with closer inspection the construction was poor. The trim and paint was chipping and uneven, the carpeting and wallpaper was old and needed updating. The walls were very thin and you could hear EVERYTHING going on in the rooms next to you and in the hallway. The worst part of the stay was the service of the staff, which wasn't bad but I expected a lot more from this supposedly high end Chicago hotel. The staff wasn't rude or anything but seemed to have no emotions at all. A smile and hello goes a long way. A positive was the lake view my room had, facing Lake Michigan. Usually when I stay downtown the room is facing a brick wall or another window.",Y
1524,"4.5 I was pretty concerned about my stay after reading unfavorable reviews, but our stay was surprisingly very pleasant! We took advantage of the Groupon offer ($110 a night for a standard 2-queen bed room). The service was fast AND friendly. The location was amazing. The room was HUGEE (for comparison, it was about the same size or even slightly bigger than our 1 bedroom suite at the Intercontinental Chicago). The furnishing was relatively nice too, MUCH better than I anticipated (no ugly yellow checker-board pattern to my delight!) The only minus that prevents this from getting a 5 star is the horribly worn out bathroom. Our room was pleasant, but our bathroom was not. It's extremely old and worn out. Pro: VERY spacious room. You would not find a room this big ANYWHERE in Chicago for this price point. Con: Furnishing may not be up-to-par with other boutique hotels, but I personally think that the very spacious room easily makes up for that. It really comes down to decor VS. space. You could either choose another boutique hotel with amazing decor but small space or Hotel 71 with lots of space and a nice, but not amazing, decor.",N
3812,"I stayed at Dana for Valentines Day and loved it. I'm definitely going to make excuses to go back. The hotel is very romantic and modern. Beautiful views, comfortable beds, even the blow dryer was the best. We stayed in a standard king. The shower was my favorite thing about the room - having the option to see in to the room (or for someone to see you in the shower) was sexy.  Having an amazing restaurant in the hotel and lounge on the top floor was very convenient. We received breakfast with the room and it was the best breakfast sandwich I've ever had with complimentary Bloody Marys. The only thing is, you may want to close your shades. I think the residents who live in the condos across the street could write a book on what they see. Floor to ceilings for them and for the hotel rooms probably makes for some funny stories. As I was in bed watching TV I looked over and saw the guy across the street doing the same thing plus a glare in his windows showing the guy in the hotel room under me walking around in his tighty whities. I wouldn't penalize the hotel for that though, if it makes you uncomfortable you have great dark shades - I thought it was still dark out when I woke up. Very nice.",N
5304,"A great lil' boutique-style place to stay in Chicago - terrific and personalized service from a genuinely nice staff (they printed out our schooner tickets for us at the front desk), and a great restaurant, the Atwood Cafe, with an amazing bartender (Ray) and a first-rate executive chef (Derek Simcik), really made this a place that we were tempted not to leave at all!  In the end, we did wind up going out, though, since the hotel is within walking distance of attractions like Millennium Park, the Theater District (got 11th-hour tickets to Alison Krauss's only show at the the Chicago Theater totally by accident - we only knew she was there because we could read the marquee from our room!), and the Chicago Institute of Art (with its amazing new wing). Definitely worth checking out!",Y
2478,"Going to the Internet Retailer 2010 at the last minute and this was the only hotel left available with shuttle services.  First of all, from reading other reviews, now I know I got ripped @ $249 a night when Priceline folks are sniping these rooms for $79 (albiet, I got free wifi). The hotel is nice; but it can only get so nice for an oldie...no matter how much money you dump into it.  Shower head was really low (I'm 6'1""), water pressure was low.   It is in a decent part of town with a hype bar close by (check out reviews on Yelp!) For some off reason I ended up with two double beds (they asked me a few times if I was traveling alone). If traveling here: 1 - make sure you get a better deal than I did 2 - confirm your exact needs with reservation over the phone and in person 3 - Don't have super high hopes My room was neither up to par as a business class (although the 22nd floor is called the executive floor) nor was it a good fit for the romantic couple...it wasnt even spacious enough for those last minute get awayers (sp?) trying to save money.",N
1249,Food here is ok... Spent thanksgiving here... For the price of $29 a person... I really could have eaten somewhere else and payed a lol more for the quality being served... However service was top rate... People working here were super friendly and attentive!,N
987,"1. IF YOU'RE HERE ON BUSINESS, IT'S OK.   2. IF YOU'RE HERE FOR ANYTHING OTHER THAN BUSINESS, MEH. Sorry for the caps, I just wanted to make it clear that this place can serve a purpose, but it shouldn't be your first choice for a nice stay with the Mr./Mrs. Good:  The staff is friendly, no problems there.  Rooms are spacious and clean.  90 min. freek cocktail time on weekdays is cool.  The beds are super comfy. Bad: The nicest part of the hotel is the lobby.  The rooms are way overpriced for what you get, a glorified Holiday Inn with a terribly-obstructed view.  There's no room service, they partner with Harry Caray's across the street till about 11pm and I hate Harry Caray's.  It costs $44 to park/valet your car here!  Park your own car at one of the self parks next to the hotel, trust me. All in all, not a horrible place, but you can do way better.  I recommend Hotel Sax a block south of this place if you're trying a romantic weekend/night.",N
